关键词,店铺名称,地理位置,产品名称,产品价格,付款人数,商品ID,浏览停留时间(min),同类商品浏览次数,评论数,收藏数
咖啡机,德颐电器旗舰店,江苏苏州,德颐DE-320触屏一键花式咖啡机家用全自动商用高压意式蒸汽小型,2998,88人付款,46551717025,7,1,2825,2304
咖啡机,飞利浦官方旗舰店,江苏无锡,Philips飞利浦EP3146意式全自动咖啡机家用办公室研磨一体打奶泡,5599,242人付款,6.04246E+11,6,1,4744,5842
咖啡机,delonghi德龙旗舰店,上海,Delonghi/德龙D3T咖啡机全自动进口家用研磨意式触屏办公室小型,5790,201人付款,5.89764E+11,5,14,3485,2976
咖啡机,nespresso官方旗舰店,江苏苏州,【赵又廷同款】NESPRESSOEssenzaMini迷你全自动进口胶囊咖啡机,866,741人付款,5.57677E+11,3,0,2354,7150
咖啡机,sparllo官方海外旗舰店,香港香港岛,德国Derlla全半自动意式浓缩咖啡机家用小型奶泡机一体迷你复古,699,737人付款,6.23583E+11,11,14,1452,6153
咖啡机,maximsdeparis旗舰店,广东广州,马克西姆马赛咖啡机意式全半自动家用奶泡机研磨一体半商用小型,4680,461人付款,6.28983E+11,1,1,4382,3724
咖啡机,广州唐辉贸易有限公司,广东广州,速溶咖啡机商用奶茶一体机全自动冷热多功能自助果汁饮料机热饮机,1280,766人付款,6.09875E+11,5,2,653,2793
咖啡机,zhangyuj20072008,上海,Delonghi/德龙ECAM22.110.SB意式现磨小型家用全自动咖啡机3200S,2790,203人付款,26548216510,8,16,4330,886
咖啡机,delonghi德龙旗舰店,上海,Delonghi/德龙ECAM23.260全自动咖啡机意式进口卡布办公室现磨,6790,104人付款,5.47462E+11,10,1,3295,5470
咖啡机,飞利浦腾飞专卖店,广东深圳,飞利浦美式咖啡机家用研磨一体全自动小型办公室现磨半自动泡茶机,1299,618人付款,5.58725E+11,11,0,1674,3868
咖啡机,lixinfei1988,上海,Delonghi/德龙ECAM23.420.SB意式小型家用全自动咖啡机22.110.SB,2790,124人付款,5.82598E+11,13,8,1566,4433
咖啡机,雪特朗旗舰店,广东中山,Stelang雪特朗意式全半自动咖啡机家用奶泡机研磨一体半商用小型,2590,127人付款,6.51272E+11,6,8,3028,311
咖啡机,小米官方旗舰店,北京,小米米家胶囊咖啡机家用小型自动打咖啡办公室饮料机官方旗舰正品,199,866人付款,6.25149E+11,13,6,4328,910
咖啡机,barsetto电器旗舰店,湖南湘潭,Barsetto/百胜图二代双锅炉咖啡机商用半自动意式家用研磨一体机,4480,180人付款,6.45044E+11,0,5,3316,1210
咖啡机,sparllo官方海外旗舰店,香港香港岛,德国Derlla咖啡豆研磨机手磨咖啡机手摇磨豆机手动磨粉机咖啡器具,149,1452人付款,6.3151E+11,10,4,725,5722
咖啡机,阿兰斯机械,广东佛山,速溶咖啡机商用奶茶一体机全自动冷热自助饮料机热饮机办公室用,2290,299人付款,6.44828E+11,10,14,3127,7807
咖啡机,泰摩旗舰店,上海,泰摩栗子C2手摇咖啡磨豆机器具意式手动研磨机手冲单品家用手磨,299,1624人付款,5.96179E+11,13,14,4691,4156
咖啡机,摩飞电器翰宇专卖店,江苏南京,摩飞咖啡机家用小型商用美式全自动研磨豆现磨一体机办公室滴漏式,1279,355人付款,5.88903E+11,6,16,2567,3940
咖啡机,京城大果子,北京,Delonghi/德龙ECAM350.75.S全自动进口意式咖啡机办公室家用中文,7750,77人付款,6.12873E+11,9,2,3534,1518
咖啡机,zjs988,广东深圳,全自动咖啡机研磨一体家用意式磨豆机通用小型商用专业美式咖啡机,2988,146人付款,5.96985E+11,9,17,1513,2663
咖啡机,飞利浦官方旗舰店,江苏无锡,philips飞利浦EP2124意式全自动咖啡机家用办公室研磨一体打奶泡,3999,78人付款,6.03627E+11,0,18,267,2175
咖啡机,maximsdeparis旗舰店,广东广州,马克西姆夏朗德MKA71复古咖啡机意式浓缩半自动家用小型蒸汽奶泡,1009,504人付款,6.22531E+11,11,19,3986,341
咖啡机,索利斯旗舰店,广东广州,Solis/索利斯半自动意式咖啡机家用小型奶泡蒸汽一体机可视压力表,3329,87人付款,6.21323E+11,11,19,4122,3395
咖啡机,smeg电器旗舰店,广东佛山,SMEG/斯麦格ECF01意式半自动咖啡机家用办公室用小型一体奶泡蒸汽,4599,113人付款,6.31631E+11,5,10,734,6346
咖啡机,京城大果子,北京,Delonghi/德龙ECAM650.85.MS全自动咖啡机卡布奇诺拿铁6900升级,7750,57人付款,5.58772E+11,11,11,2478,7006
咖啡机,网易严选旗舰店,浙江杭州,网易严选意式咖啡机家用小型半自动复古蒸汽式萃取打奶泡迷你一人,619,640人付款,5.74596E+11,4,16,4252,4363
咖啡机,nespresso官方旗舰店,江苏苏州,NESPRESSOPixie全自动意式胶囊咖啡机套装含大师匠心50颗胶囊,1191,228人付款,6.18866E+11,13,8,1057,1511
咖啡机,saeco旗舰店,福建厦门,Saeco喜客LIRIKA现磨美意式咖啡机家用全自动研磨一体机商用办公,4180,81人付款,5.543E+11,10,18,1895,6149
咖啡机,smegwell,上海,Delonghi/德龙ECAM650.85.MS全自动家用办公意式智能花式咖啡机,7750,43人付款,6.43512E+11,5,6,3850,2210
咖啡机,liaoshujuan1,广东佛山,格米莱CRM3120C意式半自动咖啡机商用双头专业9BAR高压蒸汽电控版,15979,26人付款,5.25964E+11,8,16,1609,6264
咖啡机,咖基米德旗舰店,广东佛山,格米莱家用高压煮意式咖啡机手动半自动小型蒸汽奶泡泵压,1199,256人付款,5.7278E+11,11,3,3045,1050
咖啡机,imdd海外专营店,澳大利亚,铂富/BrevilleBES878/870家用半自动意式咖啡机奶泡磨豆一体机器,3999,88人付款,6.4679E+11,9,3,988,5847
咖啡机,柏翠上海专卖店,广东佛山,Petrus/柏翠复古咖啡机家用小型全半自动意式浓缩商用蒸汽打奶泡,469,592人付款,6.20212E+11,3,0,2114,2322
咖啡机,飞利浦本汇专卖店,上海,飞利浦电动咖啡机家用商用现磨全自动美式经典小型咖啡机研磨一体,1199,266人付款,40381070493,2,15,711,6938
咖啡机,苏宁易购官方旗舰店,江苏南京,东菱36咖啡机家用小型意式浓缩办公蒸汽式打奶泡机全半自动一体机,499,533人付款,6.3389E+11,0,0,4332,5552
咖啡机,dolcegusto官方旗舰店,浙江嘉兴,雀巢PiccoloXS小星星胶囊咖啡机意式家用奶泡机星巴克咖啡套装,749,478人付款,6.00022E+11,0,14,3002,3866
咖啡机,hy9713,上海,Fiorenzato佛伦萨多F64E/F83E进口商用意式磨豆机咖啡电动研磨机,4400,62人付款,5.87876E+11,11,12,4928,4761
咖啡机,chengua,广东深圳,现货顺丰!德国ComandanteC40司令指挥官手摇咖啡磨豆机研磨省力,2298,130人付款,5.62275E+11,13,9,3258,4992
咖啡机,rlrmafreda电器旗舰店,广东深圳,艾尔菲德胶囊咖啡机全自动家用小型意式迷你办公一人用咖啡胶囊机,459,483人付款,6.18856E+11,8,0,4168,154
咖啡机,车享至尊,上海,Welhome惠家kd330咖啡机半自动意式咖啡机商用家用双泵专业E61WPM,9800,42人付款,6.28151E+11,9,5,3009,142
咖啡机,爱旺斯电器专营店,福建厦门,Welhome惠家KD-310现磨半自动意式咖啡机商用家用双泵专业E61WPM,6949,38人付款,6.00601E+11,8,12,438,1122
咖啡机,唯美嘉饮品,江苏常州,西堤岛速溶咖啡机饮料机商用果汁豆浆机自助餐厅奶茶机自动一体机,1380,138人付款,6.00738E+11,12,9,1365,12
